docno,text
1907862304290476521,"@largacty1 @RhetoricalHype But as far as the adults in Gaza, the majority of them endorse Hamas, voted for Hamas, and they celebrate when Hamas kills innocent Jews, so they're not so innocent. The truly innocent people are the children and  like I said far too many have been killed and it's horrific!"
1907861966615621645,"@StopAntisemites ISRAEL BOMBED A SCHOOL IN GAZA AGAIN!

100 children and babies died!

100 children and babies were killed!
Israel is beheading babies and you are still going to stay silent!
GENOCIDE is being committed with your money!
Rise up!
#GazaGenocide https://t.co/28kaRfqtvu"
1907861892552687663,"@BBCWorld ISRAEL BOMBED A SCHOOL IN GAZA AGAIN!

100 children and babies died!

100 children and babies were killed!
Israel is beheading babies and you are still going to stay silent!
GENOCIDE is being committed with your money!
Rise up!
#GazaGenocide https://t.co/riOfVlNRZ6"
1907861802538414584,"@BBCBreaking ISRAEL BOMBED A SCHOOL IN GAZA AGAIN!

100 children and babies died!

100 children and babies were killed!
Israel is beheading babies and you are still going to stay silent!
GENOCIDE is being committed with your money!
Rise up!
#GazaGenocide https://t.co/y5GdQZNJKH"
1907861695151878498,"@MargoMartin47 ISRAEL BOMBED A SCHOOL IN GAZA AGAIN!

100 children and babies died!

100 children and babies were killed!
Israel is beheading babies and you are still going to stay silent!
GENOCIDE is being committed with your money!
Rise up!
#GazaGenocide https://t.co/0l7KiaumDc"
1907861673764876663,"@largacty1 @RhetoricalHype Yes, absolutely. Children are inherently innocent. It's absolutely horrific and sickening how many innocent children have been killed in Gaza! But that lies at the feet of Hamas. Call upon Hamas to immediately surrender release the rest of the hostages and the war will end"
1907861452918329546,@RhetoricalHype @largacty1 The adults in Gaza openly and happily support Hamas so they're not so innocent. I do feel very badly for the children though. Children are innocent and it's horrific that so many have been killed! If you want to save them then call upon Hamas to immediately surrender
1907860851777843293,"@BBCBreaking ISRAEL BOMBED A SCHOOL IN GAZA AGAIN!

100 children and babies died!

100 children and babies were killed!
Israel is beheading babies and you are still going to stay silent!
GENOCIDE is being committed with your money!
Rise up!
#GazaGenocide https://t.co/c8Jj1xKWGc"
1907860747700564034,#BREAKING_NEWS  The Israeli air strikes on Gaza killed 92 Palestinian civilians including many children this morning. #Genocide continues in #Gaza. #GazaGenocide https://t.co/E3eBtkA4SD
1907860738355462236,"@FT ISRAEL BOMBED A SCHOOL IN GAZA AGAIN!

100 children and babies died!

100 children and babies were killed!
Israel is beheading babies and you are still going to stay silent!
GENOCIDE is being committed with your money!
Rise up!
#GazaGenocide https://t.co/HQxCbJJ9lX"
1907860617052209382,"@RepMaryMiller ISRAEL BOMBED A SCHOOL IN GAZA AGAIN!

100 children and babies died!

100 children and babies were killed!
Israel is beheading babies and you are still going to stay silent!
GENOCIDE is being committed with your money!
Rise up!
#GazaGenocide https://t.co/0iFkHcxvcx"
1907860505089167754,"@BBCBreaking ISRAEL BOMBED A SCHOOL IN GAZA AGAIN!

100 children and babies died!

100 children and babies were killed!
Israel is beheading babies and you are still going to stay silent!
GENOCIDE is being committed with your money!
Rise up!
#GazaGenocide https://t.co/2oIyAHEqiE"
1907860500815172033,"31 children &amp; women killed by the israelis, 6 children missing: tens injured: the pilots who bombed Dar Al-Arqam School in Gaza should be strung up https://t.co/h9fDoVeeYS"
1907860410272985334,"@nypost ISRAEL BOMBED A SCHOOL IN GAZA AGAIN!

100 children and babies died!

100 children and babies were killed!
Israel is beheading babies and you are still going to stay silent!
GENOCIDE is being committed with your money!
Rise up!
#GazaGenocide https://t.co/8Owrxfw3h7"
1907860362847818189,"@democracynow Israeli Terrorists killed over a 100 Palestinian civilians including dozens of women and Children in #Gaza today….

It is an open Genocide while the world watches &amp; Western media and politicians actively participate in it

#Gaza #Palestine https://t.co/qlr8EpK06p"
1907860182438138024,"@Quasar933 @Betar_USA @realDonaldTrump Based on recent data, the Israeli military (IDF) has likely killed the most children in conflicts over the past few years, with reports estimating 13,000–15,613 deaths in Gaza by March 2025, per UN and media sources. This exceeds figures from other militaries, like Russia in"
1907858925933797540,"Stop Massacre in #gaza. Over sixteen thousand children have been killed.  How many more is to be killed to say ""ENOUGH -STOP""? 
#NoFlourinGaza"
1907858409069883516,"More than 39,000 Palestinian children in Gaza have had one or both parents killed since the start of Israel’s genocidal war, says the Palestinian Central Bureau of Statistics on the eve of Palestinian Children’s Day.
Source:Aljazeera https://t.co/DDE1cn7nyJ"
1907857908517286266,"@Quasar933 @SenSanders Based on UN and UNICEF reports, the Israeli military likely killed the most children in recent years, with at least 14,500 deaths in Gaza in 2024. This far exceeds other conflicts like Ukraine (659 by Russia) or Syria (242). Numbers vary due to verification challenges, but Gaza"
1907857482023575866,"Twenty-seven Palestinians seeking shelter in a school were killed in a Israeli strike, according to Gaza's Health Ministry. https://t.co/18wMk05lRm"
1907857449794818050,@SuppressedNws Children of Gaza killed by the Israeli bombing massacres on Gaza. Can these pictures move people's hearts? https://t.co/IHsDiotios https://t.co/anyckQ3tor
1907856870401835434,"@EYakoby There was only love ❤️ 

See on Instagram and X  how Israeli satanic people killed over 50,000 Palestinians and 20,000 newborn babies 👶 and children 🧒 in Gaza. 

Destroyed the entire city, all the mosques 🕌 as many as 800 mosques 🕌, hospitals 🏥,  animals, schools, https://t.co/2c5wjxKXXH"
1907856502120952214,"@SenSanders You’re all war criminals. 
70% of the people killed in Gaza are woman &amp; children! 
Now you will vote to send our brothers to fight Israel’s war.  God forbid we get attacked"
1907856485029208335,"27 Palestinians, mostly women and children, sheltering in school killed in Israeli strike https://t.co/cNdHsYTS8T"
1907856469212672517,"@BabyGoat_00 @jacksonhinklle 70% killed in Gaza are women and children.
Less than 0.1% in Ukraine.
IsraeI targets civilians. 
Russia targets the military.
Period.
Your ""HuMaN sHiELdS"" argument is utter BS."
1907856198847631660,"@Quasar933 @SenSanders Research suggests the Israeli military has likely killed the most children in recent years, with 13,000–14,500 deaths in Gaza in 2024 per UN reports, far exceeding other conflicts like Ukraine, where child casualties rose 40%–57% in 2024. Exact figures are debated due to"
